2021-01-10,30.356800000153793,4.4,0.4,7.4,3.2716146269005324,0.48044977359257257,4.958900288708875,false,0,0,-6.0,10.0,-5.0,-9.0,-3.0,3.0,3.151,6.564,-6.894,-3.956,-6.483,4.884,13
2021-01-10,33.36250000017652,27.3,37.2,36.9,14.090620478677339,18.04821899048393,17.931684660375574,true,2,3,0.0,8.0,-9.0,7.0,5.0,-1.0,3.016,-6.208,3.236,-2.255,-2.314,3.127,1384
2021-01-10,34.477100000168726,13.0,13.800000000000002,12.4,7.783137122039472,8.164005133385446,7.494408267134057,false,0,0,-9.0,10.0,1.0,7.0,-2.0,-3.0,0.352,-6.052,-6.668,-0.255,-2.536,2.171,334
2021-01-11,50.0,15.099999999999998,5.199999999999999,22.4,8.773675300559686,3.7394064681238106,12.02813834640073,false,0,0,6.0,2.0,3.0,-10.0,-8.0,4.0,1.218,0.622,6.441,1.631,0.889,-1.975,745
2021-01-12,24.05540000010615,35.8,0.3,11.699999999999998,17.5027553083111,0.3816778909618176,7.153995940865493,true,1,3,-2.0,9.0,6.0,0.0,6.0,-7.0,-2.084,-4.695,-4.762,5.3,4.174,-5.739,40
2021-01-13,20.04440000007583,32.4,46.1,53.6,16.159800993179527,21.426968951945813,24.173071229171818,false,0,0,-4.0,-2.0,9.0,9.0,-4.0,8.0,3.669,-3.201,-1.174,-2.8,6.827,1.314,620
2021-01-14,41.48689999995674,19.9,1.5000000000000002,30.5,10.941640996054415,1.3831618672225916,15.397133363893476,false,0,0,19.0,17.0,6.0,-24.0,-24.0,-8.0,2.338,-6.255,-3.851,-6.196,-0.024,-0.264,67
2021-01-15,37.66630000007228,64.7,54.8,63.39999999999999,28.101106736522723,24.605061041272712,27.648489278070848,true,2,3,-25.0,-23.0,-22.0,7.0,5.0,8.0,-1.443,-6.748,5.138,-5.333,6.963,3.41,3
2021-01-16,15.34200000004028,81.1,73.5,53.10000000000001,33.66795076219413,31.11930371847933,23.992506264170707,true,2,3,4.0,13.0,-24.0,-5.0,-5.0,-13.0,0.765,5.889,-5.814,-0.59,5.4,3.51,48
2021-01-17,16.746600000050897,55.6,64.0,55.5,24.892002347272356,27.857618025475983,24.856180070221775,true,1,3,-3.0,13.0,-11.0,-8.0,19.0,25.0,-4.073,3.771,-4.804,-5.927,3.97,-2.966,25
2021-01-18,35.476800000138496,20.7,89.0,47.599999999999994,11.292140584308237,36.26703114965799,21.98292925028868,true,2,3,25.0,18.0,-13.0,-23.0,20.0,-10.0,4.65,4.47,3.214,-4.05,-6.957,5.256,20
2021-01-19,16.245000000047106,75.9,29.7,25.3,31.929595794129312,15.073189511285063,13.258561790054793,false,0,0,-25.0,15.0,21.0,-12.0,24.0,13.0,1.408,5.744,1.682,-6.996,-1.822,5.143,12
2021-01-20,50.0,31.4,113.6,135.1,15.7595465897721,44.086199855318185,50.64356610001537,false,0,0,-3.0,-11.0,-13.0,24.0,23.0,-21.0,3.252,-1.421,5.169,-6.454,2.09,-5.014,8
2021-01-21,48.86209999973371,9.2,35.5,46.4,5.902422071379745,17.38531974308415,21.538446928455368,true,1,2,14.0,10.0,-8.0,-18.0,25.0,-13.0,6.559,-1.517,-4.635,6.334,-3.279,-1.187,2
2021-01-22,21.924400000090042,108.7,140.6,105.5,42.55823763831036,52.28634167387874,41.55296017029787,true,2,3,-12.0,12.0,-4.0,-16.0,24.0,2.0,-4.364,-5.781,-1.436,0.74,-6.288,-3.303,9
2021-01-23,21.057200000083483,61.1,49.20000000000001,37.1,26.843118474856926,22.572106059118596,18.00939517137246,true,1,3,-19.0,4.0,6.0,4.0,5.0,-23.0,-6.789,-1.827,6.439,-0.181,-1.16,5.562,6
2021-01-24,25.49180000011701,26.9,15.099999999999998,58.4,13.925212266977793,8.773675300559686,25.88989431992563,false,0,0,-1.0,-24.0,17.0,-6.0,-10.0,-3.0,-5.594,-3.094,1.134,-3.294,4.615,-6.019,34
2021-01-25,50.0,8.2,100.9,37.1,5.383330977671217,40.09709716883537,18.00939517137246,false,0,0,-5.0,-10.0,13.0,8.0,21.0,-25.0,5.665,5.019,6.144,6.925,-6.681,-6.045,27
2021-01-27,19.747500000073583,138.1,103.29999999999998,86.1,51.54124950493109,40.85829664384482,35.31852200940784,true,1,2,19.0,11.0,-1.0,-2.0,-2.0,-23.0,-5.348,-1.853,0.855,0.622,-4.104,-4.801,25
2021-01-28,28.49170000013969,50.99999999999999,43.9,78.3,23.230370739754015,20.604952428758157,32.73477872865779,false,0,0,-25.0,12.0,9.0,-15.0,4.0,24.0,-0.41,5.737,3.014,-3.448,-5.106,-6.719,120
2021-01-29,50.0,33.5,8.1,123.4,16.597238914310296,5.330746311754014,47.10338605379152,false,0,0,3.0,10.0,-20.0,1.0,14.0,-21.0,-3.33,-6.565,-6.64,1.81,4.967,4.535,73
2021-01-30,17.389400000055755,15.5,105.9,12.4,8.959120100900968,41.67894987065685,7.494408267134057,true,1,3,-10.0,-15.0,-10.0,5.0,0.0,-16.0,-5.911,-6.161,-6.688,6.456,1.888,-6.492,84
2021-01-31,44.15869999987595,74.0,101.8,32.0,31.28854557705816,40.38296684407936,16.000000000000004,true,2,3,23.0,7.0,-18.0,22.0,-1.0,10.0,6.017,-2.008,-5.754,0.998,5.06,0.395,135
2021-02-01,16.86310000005178,33.7,15.9,74.3,16.676462096162762,9.143610116276095,31.389980868589,false,0,0,-11.0,16.0,-21.0,6.0,17.0,16.0,6.783,3.766,0.057,4.779,5.971,-5.444,37
2021-02-02,20.320200000077914,2.2,26.4,35.8,1.87904917005244,13.717758140687126,17.5027553083111,false,0,0,-4.0,24.0,21.0,20.0,-13.0,-11.0,1.231,-5.093,3.376,-2.395,-5.974,6.812,43
2021-02-03,18.608300000064972,102.9,31.8,43.300000000000004,40.731677809630256,15.919949874568587,20.379349485106363,false,0,0,-7.0,-25.0,21.0,13.0,-11.0,23.0,-3.257,2.307,-6.414,-5.328,5.114,-1.891,123
2021-02-04,40.5921999999838,41.8,17.9,90.49999999999999,19.812579646153896,10.052693115286292,36.755206186522535,true,1,3,17.0,18.0,9.0,4.0,-25.0,-5.0,6.253,4.103,1.91,5.017,-0.708,-1.185,80
2021-02-05,18.240300000062188,86.4,144.8,98.40000000000002,35.41693659623084,53.532170126420525,39.3003192890911,true,1,2,-20.0,19.0,3.0,-25.0,-20.0,-9.0,1.56,-0.755,1.719,-6.027,-6.141,-0.045,81
2021-02-06,21.610100000087666,29.4,142.5,42.89999999999999,14.951262425901895,52.850839658440435,20.228600325973577,false,0,0,5.0,-12.0,-11.0,18.0,13.0,8.0,5.259,-6.763,-0.451,-1.393,-2.318,-2.646,41
2021-02-07,30.023700000151273,18.0,45.1,47.4,10.097596309015797,21.05432068386986,21.90900595168456,false,0,0,21.0,12.0,19.0,-22.0,-17.0,23.0,1.179,-0.93,4.013,0.598,4.292,3.84,24
2021-02-08,15.584600000042112,35.2,0.3,92.3,17.267685524782255,0.3816778909618176,37.33888635459739,false,0,0,-16.0,23.0,-3.0,7.0,14.0,4.0,5.571,2.998,-6.061,6.547,-3.189,-0.968,8
2021-02-09,32.604400000170784,124.50000000000001,40.0,82.3,47.4389951381916,19.127049995800743,34.06590007462244,true,1,3,-24.0,2.0,12.0,-17.0,7.0,9.0,-6.474,6.511,2.606,5.682,-4.476,-6.656,11
2021-02-10,18.734900000065927,149.5,23.9,21.2,54.91777761736255,12.668299455722622,11.509824158567984,true,1,2,-9.0,23.0,-12.0,-7.0,5.0,0.0,6.597,5.327,-2.126,-1.966,-2.455,5.079,14
2021-02-11,16.184200000046648,22.1,4.7,33.9,11.899091906397889,3.4488816082714764,16.755591299742605,false,0,0,17.0,13.0,-17.0,7.0,7.0,-23.0,-6.858,-5.208,-2.122,2.339,-6.665,-3.737,32
2021-02-12,50.0,21.4,28.6,45.1,11.596609114019834,14.624897349572606,21.05432068386986,false,0,0,21.0,-10.0,11.0,-22.0,21.0,25.0,6.945,2.057,-5.881,3.316,-6.752,-3.14,28
